Sat.UTCGregorian           Sat.EarthMJ2000Eq.X   Sat.EarthMJ2000Eq.Y   Sat.EarthMJ2000Eq.Z   
22 Jul 2014 11:29:10.811   137380                -75679.6              21487.6               
22 Jul 2014 11:30:10.811   137394                -75652.8              21492.7               
22 Jul 2014 11:33:00.381   137433                -75576.9              21507.2               
22 Jul 2014 11:41:06.513   137542                -75358.2              21548.3               
22 Jul 2014 12:07:06.014   137873                -74644.6              21676.7               
22 Jul 2014 12:52:06.014   138365                -73366.1              21886.5               
22 Jul 2014 13:37:06.014   138755                -72033.8              22080.1               
22 Jul 2014 14:22:06.014   139043                -70648.3              22257.4               
22 Jul 2014 15:07:06.014   139227                -69210.5              22418                 
22 Jul 2014 15:52:06.014   139307                -67720.8              22561.8               
22 Jul 2014 16:37:06.014   139281                -66179.9              22688.4               
22 Jul 2014 17:22:06.014   139148                -64588.2              22797.5               
22 Jul 2014 18:07:06.014   138907                -62946.4              22888.8               
22 Jul 2014 18:52:06.014   138556                -61254.7              22961.9               
22 Jul 2014 19:37:06.014   138092                -59513.6              23016.3               
22 Jul 2014 20:22:06.014   137515                -57723.5              23051.8               
22 Jul 2014 21:07:06.014   136821                -55884.6              23067.6               
22 Jul 2014 21:52:06.014   136008                -53997.3              23063.4               
22 Jul 2014 22:37:06.014   135074                -52061.8              23038.5               
22 Jul 2014 23:22:06.014   134015                -50078.4              22992.2               
23 Jul 2014 00:07:06.014   132828                -48047.1              22923.9               
23 Jul 2014 00:52:06.014   131509                -45968.3              22832.9               
23 Jul 2014 01:37:06.014   130054                -43842.1              22718.2               
23 Jul 2014 02:22:06.014   128459                -41668.6              22578.9               
23 Jul 2014 03:07:06.014   126718                -39448.1              22413.9               
23 Jul 2014 03:52:06.014   124826                -37180.5              22222.2               
23 Jul 2014 04:37:06.014   122776                -34866.2              22002.5               
23 Jul 2014 05:22:06.014   120562                -32505.3              21753.2               
23 Jul 2014 06:07:06.014   118176                -30098.1              21472.9               
23 Jul 2014 06:52:06.014   115609                -27644.9              21159.6               
23 Jul 2014 07:37:06.014   112851                -25146.1              20811.3               
23 Jul 2014 08:22:06.014   109891                -22602.3              20425.6               
23 Jul 2014 09:07:06.014   106715                -20014.3              19999.8               
23 Jul 2014 09:52:06.014   103308                -17383.1              19530.8               
23 Jul 2014 10:37:06.014   99652.6               -14710.3              19014.7               
23 Jul 2014 11:22:06.014   95728.2               -11997.9              18447.3               
23 Jul 2014 12:07:06.014   91509.8               -9248.86              17823.2               
23 Jul 2014 12:52:06.014   86967.4               -6467.29              17135.9               
